"class,comment"
"negatif,b'RT @Rizmaya__: KAMI menjadi sekelompok orang2 bod*h yang menjalankan kedholiman di tengah2 covid.\n\nKAMI yang tidak bisa menjadi harapan lag\xe2\x80\xa6'"
"positif,b'Salah satu cara untuk mencegah penularan virus covid19 maka pemerintah memberlakukan kebijakan PPKM Darurat #PPKMDaruratSolusiTepat https://t.co/wMG3UKcHyc'"
"positif,b'tema ttg JK pagi ini, Info seputar PPKM di daerah anda . Terkait kedisplinan dan pelanggaran yang terjadi.Yuuk siapa yang mau telpon 0274 880088 WS 071725800 yuuuk....monggo lhooo @kabarsleman @jogjastreamers @pemkabbantul https://t.co/aykPuVfkuQ'"
"positif,b'Haloooo ppkm darurat mau bkin klaster baru kah? Sebanyak ini kah sektor kritikal? Ada yg bs jawab, punten up min @jalur5_ @CommuterLine @Dessyssss \nYg nanya gw, yes gw sektor kritikal ga ada ttd gw obat ga bs keluar \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad https://t.co/T0InjzQJUm'"
"positif,b'RT @Urrangawak: Ayooo kita bantu aparat keamanan dilapangan yang sedang bertugas dlm penerapan PPKM Darurat, sudah berapa banyak org terdek\xe2\x80\xa6'"
"positif,b'RT @FerdinandHaean3: Tinggal lah sementara di rumah, ini untuk kebaikan kita semua. Untuk kehidupan kita yang akan lebih baik nantinya.\n\nPa\xe2\x80\xa6'"
"negatif,b'RT @cybsquad_: Halo @DivHumas_Polri @Puspen_TNI tamu dari wuhan kapan tiba ? PPKM darurat itu buat siapa ?\n\nJT2618 from Wuhan to Jakarta ht\xe2\x80\xa6'"
"netral,b'RT @e100ss: #SSInfo: Balai Besar Taman Nasional Bromo Tengger Semeru (BB TNBTS) menyatakan bahwa kawasan wisata Gunung Bromo dan pendakian\xe2\x80\xa6'"
"positif,b'RT @Harmonik14: Polisi akan melakukan tindakan tegas bagi masyarakat yang tidak memiliki kepentingan namun tetap memaksa untuk melewati pos\xe2\x80\xa6'"
"positif,b'RT @Urrangawak: Denger tuh nies..\nGak usah sibuk urus peti mati..\n\nIngat...!!! PPKM darurat akan diterapkan secara tegas dan terukur bagi s\xe2\x80\xa6'"
"positif,b'RT @RiantiDiani: #TegasTegakkanPPKMDarurat\nPemerintah telah menerbitkan kebijakan PPKM Darurat untuk wilayah Jawa dan Bali terhitung 3 Juli\xe2\x80\xa6'"
"negatif,b'RT @keuangannews_id: Bamsoet: PPKM Darurat Sia-sia Jika Bandara tak\xc2\xa0Ditutup https://t.co/PeyjKeBVdX'"
"netral,b'RT @CNNIndonesia: 20 TKA China Masuk Sulsel Kala PPKM Darurat Jawa-Bali https://t.co/Kq8cWi5I4g'"
"netral,b'@IdKalimantan Mau buat sangu ppkm hahaha'"
"netral,b'RT @SiaranBolaLive: PPKM Pernah Perhatian Kemudian Menghilang.'"
"positif,b'RT @ManoharaSekar: #TegasTegakkanPPKMDarurat\nKarena belum berakhir masa pandemi kita harus tetap disiplin prokes.\nSemua komponen bangsa har\xe2\x80\xa6'"
"positif,b'Bersinergi bersama TNI Polri, Banser Kab. Malang melakukan giat himbauan kepada masyarakat utk tetap disiplin Prokes\n\nGiat ini dilakukan setiap malam sejak diterapkannya PPKM darurat di obyek vital, pasar, cafe, warung juga tempat ibadah #AnsorMelawanCorona #BanserBelaNegeri https://t.co/o1HOHcNulS'"
"positif,b'PPKM Darurat, Polda Metro Jaya Tambah Titik Penyekatan Mobilitas Jadi 72 Titik https://t.co/FjSKk6PLaX https://t.co/SaRiNflawK'"
"positif,b'RT @Harmonik14: Polisi akan melakukan tindakan tegas bagi masyarakat yang tidak memiliki kepentingan namun tetap memaksa untuk melewati pos\xe2\x80\xa6'"
"positif,b'RT @ManoharaSekar: #TegasTegakkanPPKMDarurat\nPenyebaran Covid-19 semakin merajalela,hal ini akibat kurabg menerapkan prokes.\nPenerapan PPKM\xe2\x80\xa6'"
"netral,b'Tepatkah Kebijakan Mematikan Lampu Jalan di Kota Malang untuk Menekan Mobilitas Warga saat PPKM Darurat? https://t.co/vzgULVprOL'"
"netral,b'RT @panjimascom: PPKM Darurat di Solo, Mall Buka, Namun Pasar Wong Cilik Harus Tutup https://t.co/utvabwNWvG'"
"positif,b'Kurang apa coba pemerintah, banyak yang sudah dilakukannya, mulai dari a sampai z, dari bantuan a sampai z, ayok laksanakn ppkm mikro https://t.co/cRGVrvp0si'"
"positif,b'RT @ruhutsitompul: PPKM Darurat memasuki hari ke 3 berjalan dgn baik dikomandoi Bang LBP mari terusssssss Kita dukung dan yg tdk setuju tol\xe2\x80\xa6'"
"positif,b'RT @FerdinandHaean3: Tinggal lah sementara di rumah, ini untuk kebaikan kita semua. Untuk kehidupan kita yang akan lebih baik nantinya.\n\nPa\xe2\x80\xa6'"
"negatif,b'RT @tempodotco: \xe2\x80\x9cTidak hanya keras dan ketat kepada warga sendiri, tapi longgar dan abai terhadap pelancong dan TKA yang hingga kini tampak\xe2\x80\xa6'"
"positif,b'RT @panca66: Barusan ada tamu dari Jakarta. Dia masuk kantor karena pekerja sektor esensial. Kata dia, \xe2\x80\x9cUdah sama dengan lockdown pak. Masu\xe2\x80\xa6'"
"netral,b'@Separoh_Kumis @RiantiDiani Hiduplah di waktu sekarang. Saat ini. Jangan\nhalu akan masa lalu. Masa depan tak ada\nyang tau. Lakukan yang terbaik \nCatat pantangan utamanya:\nmengeluh, ikuti PPKM stay at home dan taat PROKES \xe2\x9d\xa4'"
"netral,b'RT @Kanseulir: PPKM??\n\xf0\x9f\xa4\x94\xf0\x9f\x99\x84 https://t.co/YfbrFXeJBD'"
"negatif,b'RT @PresidenKopi: Udah njerit njerit orang baru bicara Kelen.  https://t.co/kwKHDFWVsA'"
"negatif,b'RT @AliNgabalinNew: Pandu Riono Tonjolkan Anies, Ngabalin: Upaya Ganggu Konsentrasi PPKM Darurat https://t.co/M3YJDlVmjM'"
"netral,b'RT @Bebenshuu: PPKM \n""Pernah Perhatian Kemudian Menghilang"" Cokkk\xf0\x9f\x98\xad'"
"positif,b'Begitu dong demi kebaikan kita semua ........\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x91\x8dPresidium KAMI, Gatot Nurmantyo, Sebut PPKM Darurat Jawa-Bali Langkah Tepat https://t.co/bFv9BUCyfA'"
"negatif,b'RT @marlina_idha: PPKM Darurat di Jakarta Tak Efektif, Politisi PDIP Minta Anies Tampil \n\nmanggung kalee, tampil! \xf0\x9f\xa4\xad\xf0\x9f\x98\x82\xf0\x9f\x99\x84\nhttps://t.co/makujaDb\xe2\x80\xa6'"
"positif,b'Gua udeh ampe bosen dirumah baru brp hr PPKM yekan demi ga kuar rumah, demi kaga nongki. eh org org malah nongkrong dicafe cafe anjrittt, gada ati bgt lu sat'"
"netral,b'PPKM: Pernah PDKT Kemudian Menghilang https://t.co/YMjSJQ96EM'"
"negatif,b'RT @bitxt: ppkm pelan pelan kita modar'"
"negatif,b'RT @murtado_zaki: PPKM = penyekatan Pribumi, komunis masuk \xf0\x9f\x98\x8c https://t.co/yhdshIPdgi'"
"negatif,b'Yg ppkm Jawa bali doang ya heheheupa \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3'"
"negatif,b'RT @maspiyuaja: HEBOH... Ramai-ramai Netizen Serukan PPKM = Pak Presiden Kapan Mundur https://t.co/RrUKVwgxEi https://t.co/fdf8WDxijI'"
"netral,b'RT @aldapstsr: Ppkm, pengen peluk kamu muach'"
"negatif,b'RT @DiantyYasmin3: Kecewa Masjid Ditutup Saat PPKM Darurat, Ustadz Abdul Somad: Di Mana Letak Hati Kecilmu?\nMall jg ditutup mad\nKlo somad,\xe2\x80\xa6'"
"positif,b'RT @Urrangawak: Selama penerapan PPKM Darurat sanksi tegas akan diberikan. Apabila ditemukan kerumunan yang sangat banyak akan ditindak den\xe2\x80\xa6'"
"positif,b'RT @Dhee_jhe1203: Penertiban pedagang saat PPKM di cirebon!\nSing di kandani ojo ngeyel \nSing ngandani ojo nganggo urat\nSabar...sabar njeeh\xf0\x9f\x99\x8f\xe2\x80\xa6'"
"negatif,b'RT @lavivrie: dari semua becandaan ppkm yang paling realistis cuma\npelan-pelan kita miskin'"
"negatif,b'RT @PineksoRoyi1: Taaaah iyeu pisaaaannnnn....padahal kalo duit operasional aparat ma polisi itu dialihin buat jaminan kebutuhan hidup seha\xe2\x80\xa6'"
"netral,b'RT @maspiyuaja: JANGAN LUPAKAN #PPKM50 (Peristiwa Pembantaian Kilo Meter 50), Telah Terbit BUKU PUTIH KM50 \n\n\xf0\x9f\x91\x89https://t.co/ffgMBvLmoJ https\xe2\x80\xa6'"
